方法   pt:6576.291440427422    sum:31635
近似   pt:6412.695884205094    sum:36306
涉及   pt:5959.74671038465    sum:34012
显示   pt:5624.347409157817    sum:27439
取得   pt:5611.431888474827    sum:33264
好   pt:5297.702946758895    sum:35640
了解   pt:5120.500447734978    sum:36067
非常   pt:5050.217361696591    sum:40291
超越   pt:5028.587823745959    sum:21296
改换   pt:4817.547962260923    sum:25396
实行   pt:4794.607212224161    sum:17563
正确   pt:4741.943427820565    sum:19251
讲话   pt:4735.348591553126    sum:35312
工作   pt:4636.860323016927    sum:37560
寻找   pt:4585.585296317629    sum:32409
包含   pt:4520.44501408926    sum:24356
正规   pt:4457.837669077784    sum:19423
意味   pt:4435.739824410326    sum:18937
移动   pt:4179.2645793931615    sum:17113
种类   pt:4080.3864039871205    sum:19437
效用   pt:4064.1680188723976    sum:20940
结束   pt:3984.428614409415    sum:31888
希望   pt:3980.127028850159    sum:30693
符合   pt:3775.9351182154583    sum:17849
叫做   pt:3722.5431533714027    sum:22376
集合   pt:3715.2400628620144    sum:18550
依靠   pt:3624.8651545210178    sum:19472
有   pt:3578.4675351607725    sum:20795
改变   pt:3567.8117298698357    sum:16818
管保   pt:3515.085608498784    sum:11582
挑选   pt:3507.4430239588423    sum:29386
下降   pt:3496.1923343378257    sum:20734
推动   pt:3456.560471133768    sum:11919
消除   pt:3419.330452733302    sum:23974
景象   pt:3394.3306275263117    sum:15231
思考   pt:3321.6572147293036    sum:12481
遗失   pt:3287.7136202161514    sum:14038
计划   pt:3254.6141402288163    sum:13940
技术   pt:3197.47149246491    sum:16788
变化   pt:3178.9646031542766    sum:10013
增强   pt:3158.2643678463023    sum:9583
证明   pt:3148.541521761391    sum:16574
使用   pt:3137.8196324896367    sum:13578
模仿   pt:3107.0219726674363    sum:15593
见解   pt:3100.1775109554465    sum:12183
标准   pt:3093.6112291087375    sum:13320
创立   pt:3068.4623369208125    sum:12199
胜于   pt:2993.7422371733237    sum:20948
停止   pt:2928.978248206601    sum:16243
缺少   pt:2914.426314299804    sum:11891
重要   pt:2887.099344143345    sum:11188
帮助   pt:2867.747589398655    sum:17525
返回   pt:2846.9353881293473    sum:11301
共同   pt:2838.6186088886925    sum:13819
宣布   pt:2828.2440363612113    sum:15462
需要   pt:2822.147685370561    sum:12631
减少   pt:2809.166345860164    sum:13143
增多   pt:2799.324619524606    sum:11941
告诉   pt:2790.9938623954495    sum:10335
起源   pt:2754.8682409578446    sum:13322
团体   pt:2682.80723604899    sum:9473
完整   pt:2663.6139799022008    sum:8578
支付   pt:2660.8777896807737    sum:12056
采集   pt:2645.40296346722    sum:10359
对象   pt:2605.3601654747044    sum:7033
数量   pt:2590.0563204882787    sum:16057
进步   pt:2579.37242248349    sum:18605
中心   pt:2568.5646346304566    sum:9867
转车   pt:2560.0672882671515    sum:8069
请求   pt:2547.628728444815    sum:14754
困难   pt:2545.350167246514    sum:18407
收   pt:2545.2116415937526    sum:11007
遭受   pt:2542.2324252147464    sum:13005
音信   pt:2501.525705624967    sum:6871
实在   pt:2498.7498752361626    sum:7940
特征   pt:2490.982005271688    sum:7522
系统   pt:2471.6917167361453    sum:6122
广泛   pt:2460.3319388781633    sum:9525
经历   pt:2454.3684295814123    sum:7917
放大   pt:2431.2134978174295    sum:10788
发作   pt:2415.9957409516146    sum:7796
使得   pt:2407.1749848403865    sum:5651
游戏   pt:2401.405336067949    sum:13140
