learn:dsjwz.csv check:gkw.csv 	 Result: 	0.20334924609206384 	7066 	2612



  	class: 阻塞  	d: 25  	pt: 2.0000000000000004  	diff:  阻塞A0.5 拥塞A0.5 阻隔B0.16666666666666666 梗B0.23333333333333334 打断B0.26666666666666666 梗阻B0.03333333333333333 隔阂B0.2 短路B0.03333333333333333 封堵B0.03333333333333333 不通B0.03333333333333333
  	class: 住户  	d: 8  	pt: 2.0  	diff:  住户A1.0 人烟B1.0
  	class: 兄弟  	d: 9  	pt: 2.0  	diff:  哥们A1.0 兄弟B0.7272727272727273 哥俩B0.09090909090909091 手足B0.18181818181818182
  	class: 阁下  	d: 4  	pt: 2.0  	diff:  同志A1.0 足下B1.0
  	class: 人才  	d: 13  	pt: 2.0  	diff:  才子A1.0 精英B0.7777777777777778 人材B0.2222222222222222
  	class: 舵手  	d: 4  	pt: 2.0  	diff:  掌舵A1.0 舵手B1.0
  	class: 服务员  	d: 5  	pt: 2.0  	diff:  服务生A1.0 服务员B1.0
  	class: 劳动者  	d: 3  	pt: 2.0  	diff:  劳动者A1.0 生产者B1.0
  	class: 帝国主义  	d: 2  	pt: 2.0  	diff:  帝国主义A1.0 帝B1.0
  	class: 重任  	d: 4  	pt: 2.0  	diff:  使命A1.0 重任B1.0
  	class: 头领  	d: 15  	pt: 2.0  	diff:  领导人A0.4 当权者A0.2 带头人A0.4 把头B0.5 头头B0.5
  	class: 烟鬼  	d: 4  	pt: 2.0  	diff:  吸烟者A1.0 烟民B1.0
  	class: 伤员  	d: 10  	pt: 2.0  	diff:  伤员A0.5 伤者A0.5 受难者B1.0
  	class: 富户  	d: 5  	pt: 2.0  	diff:  首富A1.0 大户B1.0
  	class: 物主  	d: 7  	pt: 2.0  	diff:  持有人A1.0 主人B1.0
  	class: 媒人  	d: 9  	pt: 2.0  	diff:  媒介A0.4375 红娘A0.5625 媒B1.0
  	class: 文雅  	d: 24  	pt: 2.0  	diff:  文静A1.0 风雅B1.0
  	class: 必需品  	d: 5  	pt: 2.0  	diff:  消费品A1.0 日用品B0.16666666666666666 用品B0.8333333333333334
  	class: 负担  	d: 2  	pt: 2.0  	diff:  包袱A1.0 担子B1.0
  	class: 淫荡  	d: 13  	pt: 2.0  	diff:  淫秽A1.0 浪B0.25 淫乱B0.25 好色B0.5
  	class: 住宿  	d: 10  	pt: 2.0  	diff:  住宿A1.0 寄宿B1.0
  	class: 广阔  	d: 40  	pt: 2.0  	diff:  无量A1.0 弥漫B0.75 浩瀚B0.25
  	class: 飓风  	d: 5  	pt: 2.0  	diff:  飓风A1.0 强风B1.0
  	class: 颜色  	d: 2  	pt: 2.0  	diff:  色调A1.0 色泽B1.0
  	class: 血迹  	d: 4  	pt: 2.0  	diff:  血迹A1.0 血渍B1.0
  	class: 嫌隙  	d: 10  	pt: 2.0  	diff:  纠纷A1.0 裂痕B0.5 纠葛B0.5
  	class: 纸  	d: 3  	pt: 2.0  	diff:  纸张A1.0 纸头B1.0
  	class: 椅子  	d: 3  	pt: 2.0  	diff:  椅子A1.0 椅B1.0
  	class: 杏  	d: 3  	pt: 2.0  	diff:  杏A1.0 杏子B1.0
