learn:dsjwz.csv check:jqzx.csv 	 Result: 	0.17495377868796333 	5443 	2292



  	class: 子  	d: 3  	pt: 2.0  	diff:  儿子A1.0 小子B1.0
  	class: 兄弟  	d: 9  	pt: 2.0  	diff:  哥们A1.0 昆仲B1.0
  	class: 人才  	d: 13  	pt: 2.0  	diff:  才子A1.0 精英B1.0
  	class: 长辈  	d: 6  	pt: 2.0  	diff:  老人A0.9333333333333333 老前辈A0.06666666666666667 老一辈B1.0
  	class: 烧火  	d: 7  	pt: 2.0  	diff:  燃爆A1.0 着火B1.0
  	class: 士兵  	d: 19  	pt: 2.0  	diff:  士兵A1.0 战士B1.0
  	class: 劳动者  	d: 3  	pt: 2.0  	diff:  劳动者A1.0 生产者B1.0
  	class: 统治  	d: 12  	pt: 2.0  	diff:  统治A0.75 在位A0.25 执政B1.0
  	class: 健康人  	d: 4  	pt: 2.0  	diff:  常人A1.0 正常人B1.0
  	class: 囚禁  	d: 9  	pt: 2.0  	diff:  禁锢A1.0 囚禁B1.0
  	class: 子孙  	d: 14  	pt: 2.0  	diff:  后人A1.0 子代B1.0
  	class: 好友  	d: 10  	pt: 2.0  	diff:  好友A1.0 知音B1.0
  	class: 屋主  	d: 5  	pt: 2.0  	diff:  房东A1.0 房主B1.0
  	class: 保证人  	d: 10  	pt: 2.0  	diff:  行为人A1.0 总负责人B1.0
  	class: 诗人  	d: 4  	pt: 2.0  	diff:  诗人A1.0 词人B1.0
  	class: 盗窃  	d: 18  	pt: 2.0  	diff:  盗窃A0.3333333333333333 偷走A0.3333333333333333 盗取A0.3333333333333333 偷窃B1.0
  	class: 硅  	d: 6  	pt: 2.0  	diff:  单晶A1.0 硅B1.0
  	class: 砖  	d: 4  	pt: 2.0  	diff:  砖A1.0 砖石B0.5 砖块B0.5
  	class: 尖锐  	d: 9  	pt: 2.0  	diff:  锐利A1.0 尖B1.0
  	class: 背  	d: 17  	pt: 2.0  	diff:  背A1.0 负重B1.0
  	class: 阴  	d: 11  	pt: 2.0  	diff:  阴暗A1.0 阴天B1.0
  	class: 阻塞  	d: 25  	pt: 2.0  	diff:  阻塞A0.5 拥塞A0.5 闭塞B0.16666666666666666 隔阂B0.5 不通B0.16666666666666666 绿灯B0.16666666666666666
  	class: 流水  	d: 5  	pt: 2.0  	diff:  水流A1.0 流水B1.0
  	class: 氮气  	d: 2  	pt: 2.0  	diff:  氮气A1.0 氮B1.0
  	class: 条理  	d: 6  	pt: 2.0  	diff:  条理A1.0 脉络B1.0
  	class: 裂开  	d: 21  	pt: 2.0  	diff:  破裂A1.0 裂缝B1.0
  	class: 麻木  	d: 9  	pt: 2.0  	diff:  麻痹A0.5 发麻A0.5 木B1.0
  	class: 细菌  	d: 2  	pt: 2.0  	diff:  菌A1.0 细菌B1.0
  	class: 牢  	d: 16  	pt: 2.0  	diff:  耐用A1.0 凝固B1.0
  	class: 猴子  	d: 4  	pt: 2.0  	diff:  猴子A1.0 猕猴B1.0
  	class: 羊  	d: 2  	pt: 2.0  	diff:  羊A1.0 羊群B1.0
  	class: 禽  	d: 9  	pt: 2.0  	diff:  鸟类A0.5 鸟A0.5 鸟群B0.5 鸟儿B0.5
