learn:dsjwz.csv check:ktx.csv 	 Result: 	0.2527324815052981 	6328 	2287



  	class: 月亮  	d: 8  	pt: 2.0  	diff:  月球A1.0 月亮B1.0
  	class: 职员  	d: 6  	pt: 2.0  	diff:  职员A1.0 高干B0.5 老干部B0.25 干部B0.25
  	class: 烧火  	d: 7  	pt: 2.0  	diff:  燃爆A1.0 生火B1.0
  	class: 服务员  	d: 5  	pt: 2.0  	diff:  服务生A1.0 服务员B1.0
  	class: 官吏  	d: 14  	pt: 2.0  	diff:  官僚A1.0 臣B1.0
  	class: 士兵  	d: 19  	pt: 2.0  	diff:  士兵A1.0 战士B0.75 小将B0.25
  	class: 情报员  	d: 14  	pt: 2.0  	diff:  间谍A1.0 眼线B1.0
  	class: 审判员  	d: 11  	pt: 2.0  	diff:  司法员A0.14285714285714285 法官A0.8571428571428571 大法官B1.0
  	class: 统治  	d: 12  	pt: 2.0  	diff:  统治A0.75 在位A0.25 掌印B0.5 当家B0.5
  	class: 头领  	d: 15  	pt: 2.0  	diff:  领导人A0.4 当权者A0.2 带头人A0.4 把头B1.0
  	class: 精神病  	d: 2  	pt: 2.0  	diff:  精神病A1.0 神经病B1.0
  	class: 富户  	d: 5  	pt: 2.0  	diff:  首富A1.0 大户B1.0
  	class: 逃跑  	d: 23  	pt: 2.0  	diff:  逃逸A0.5 潜A0.5 出逃B0.5 逃亡B0.5
  	class: 结交  	d: 7  	pt: 2.0  	diff:  相交A0.6666666666666666 结识A0.3333333333333333 会友B1.0
  	class: 相识  	d: 3  	pt: 2.0  	diff:  谋面A0.5 相识A0.5 相知B1.0
  	class: 物主  	d: 7  	pt: 2.0  	diff:  持有人A1.0 主人B0.8 持有者B0.2
  	class: 柱  	d: 5  	pt: 2.0  	diff:  支柱A1.0 柱B1.0
  	class: 代表  	d: 3  	pt: 2.0  	diff:  代理人A1.0 委托人B1.0
  	class: 流氓  	d: 10  	pt: 2.0  	diff:  流氓A1.0 刺儿头B1.0
  	class: 老练  	d: 15  	pt: 2.0  	diff:  老练A1.0 老气B1.0
  	class: 罪犯  	d: 9  	pt: 2.0  	diff:  犯人A0.25 罪犯A0.5 囚徒A0.25 人犯B1.0
  	class: 布置  	d: 8  	pt: 2.0  	diff:  摆放A0.6666666666666666 布置A0.3333333333333333 摆B0.9 摆设B0.1
  	class: 百货  	d: 6  	pt: 2.0  	diff:  杂货A1.0 百货B1.0
  	class: 情欲  	d: 5  	pt: 2.0  	diff:  情欲A0.7777777777777778 肉欲A0.1111111111111111 人事A0.1111111111111111 性欲B1.0
  	class: 颤动  	d: 10  	pt: 2.0  	diff:  震荡A0.5 颠簸A0.5 震B0.5714285714285714 抖动B0.42857142857142855
  	class: 尖锐  	d: 9  	pt: 2.0  	diff:  锐利A1.0 尖B1.0
  	class: 阻塞  	d: 25  	pt: 2.0  	diff:  阻塞A0.5 拥塞A0.5 梗B0.6551724137931034 打断B0.13793103448275862 隔阂B0.034482758620689655 不通B0.10344827586206896 绿灯B0.034482758620689655 堵截B0.034482758620689655
  	class: 高空  	d: 11  	pt: 2.0  	diff:  太空A1.0 高空B1.0
