learn:dsjwz.csv check:mm.csv 	 Result: 	0.28257326573158387 	4534 	1775



  	class: 人数  	d: 8  	pt: 2.0  	diff:  人数A0.5384615384615384 人口A0.46153846153846156 口B1.0
  	class: 男人  	d: 9  	pt: 2.0  	diff:  男子A1.0 男士B1.0
  	class: 人才  	d: 13  	pt: 2.0  	diff:  才子A1.0 精英B1.0
  	class: 长辈  	d: 6  	pt: 2.0  	diff:  老人A0.9333333333333333 老前辈A0.06666666666666667 老辈B1.0
  	class: 家乡  	d: 18  	pt: 2.0  	diff:  本土A1.0 家乡B1.0
  	class: 服务员  	d: 5  	pt: 2.0  	diff:  服务生A1.0 服务员B1.0
  	class: 侦查  	d: 11  	pt: 2.0  	diff:  侦查A1.0 侦探B1.0
  	class: 护理  	d: 5  	pt: 2.0  	diff:  护理A0.6666666666666666 看护A0.3333333333333333 守护B1.0
  	class: 头领  	d: 15  	pt: 2.0  	diff:  领导人A0.4 当权者A0.2 带头人A0.4 头目B1.0
  	class: 第一  	d: 18  	pt: 2.0  	diff:  头条A0.9574468085106383 首任A0.02127659574468085 元A0.02127659574468085 处女B1.0
  	class: 健康人  	d: 4  	pt: 2.0  	diff:  常人A1.0 正常人B1.0
  	class: 精神病  	d: 2  	pt: 2.0  	diff:  精神病A1.0 神经病B1.0
  	class: 逃跑  	d: 23  	pt: 2.0  	diff:  逃逸A0.5 潜A0.5 逃走B0.3333333333333333 逃跑B0.6666666666666666
  	class: 古人  	d: 5  	pt: 2.0  	diff:  古人A1.0 原始人B1.0
  	class: 结交  	d: 7  	pt: 2.0  	diff:  相交A0.6666666666666666 结识A0.3333333333333333 结交B1.0
  	class: 丹心  	d: 15  	pt: 2.0  	diff:  诚意A1.0 热血B0.5 真情B0.5
  	class: 同班  	d: 2  	pt: 2.0  	diff:  同窗A1.0 同班B1.0
  	class: 物主  	d: 7  	pt: 2.0  	diff:  持有人A1.0 主人B1.0
  	class: 助手  	d: 11  	pt: 2.0  	diff:  助手A0.9642857142857143 帮手A0.03571428571428571 帮厨B1.0
  	class: 保证人  	d: 10  	pt: 2.0  	diff:  行为人A1.0 担保人B1.0
  	class: 把持  	d: 7  	pt: 2.0  	diff:  垄断A0.7647058823529411 专A0.23529411764705882 霸B1.0
  	class: 资料  	d: 5  	pt: 2.0  	diff:  素材A0.21348314606741572 资料A0.47191011235955055 材料A0.3146067415730337 材B1.0
  	class: 老练  	d: 15  	pt: 2.0  	diff:  老练A1.0 老气B1.0
  	class: 盗窃  	d: 18  	pt: 2.0  	diff:  盗窃A0.3333333333333333 偷走A0.3333333333333333 盗取A0.3333333333333333 偷B1.0
  	class: 刻板  	d: 19  	pt: 2.0  	diff:  刻板A0.6666666666666666 古板A0.3333333333333333 呆板B0.5 死板B0.5
  	class: 颤动  	d: 10  	pt: 2.0  	diff:  震荡A0.5 颠簸A0.5 颠B0.5 抖动B0.5
  	class: 外地  	d: 6  	pt: 2.0  	diff:  外地A1.0 异地B1.0
  	class: 阻塞  	d: 25  	pt: 2.0  	diff:  阻塞A0.5 拥塞A0.5 打断B0.8 隔阂B0.2
  	class: 住宿  	d: 10  	pt: 2.0  	diff:  住宿A1.0 借宿B1.0
