learn:dsjwz.csv check:xkd.csv 	 Result: 	0.24516031849007974 	6239 	2318



  	class: 外人  	d: 10  	pt: 2.0  	diff:  陌生人A0.875 外人A0.125 闲人B0.5 旁观者B0.5
  	class: 兄弟  	d: 9  	pt: 2.0  	diff:  哥们A1.0 兄弟B0.8666666666666667 弟兄B0.13333333333333333
  	class: 预兆  	d: 5  	pt: 2.0  	diff:  兆头A0.5 先兆A0.25 征兆A0.25 前兆B1.0
  	class: 人才  	d: 13  	pt: 2.0  	diff:  才子A1.0 精英B1.0
  	class: 成年人  	d: 5  	pt: 2.0  	diff:  成年人A1.0 中年人B1.0
  	class: 职员  	d: 6  	pt: 2.0  	diff:  职员A1.0 干部B1.0
  	class: 服务员  	d: 5  	pt: 2.0  	diff:  服务生A1.0 服务员B1.0
  	class: 卖家  	d: 4  	pt: 2.0  	diff:  卖家A1.0 卖方B1.0
  	class: 创建者  	d: 8  	pt: 2.0  	diff:  创作者A0.25 奠基人A0.375 创建人A0.125 创建者A0.25 创立者B0.5 开创者B0.5
  	class: 伤员  	d: 10  	pt: 2.0  	diff:  伤员A0.5 伤者A0.5 受难者B1.0
  	class: 富户  	d: 5  	pt: 2.0  	diff:  首富A1.0 大户B1.0
  	class: 替身  	d: 3  	pt: 2.0  	diff:  替身A1.0 替罪羊B1.0
  	class: 父辈  	d: 10  	pt: 2.0  	diff:  大爷A0.3333333333333333 父辈A0.3333333333333333 大叔A0.3333333333333333 叔叔B1.0
  	class: 平坦  	d: 9  	pt: 2.0  	diff:  平滑A1.0 坦荡B1.0
  	class: 上辈  	d: 4  	pt: 2.0  	diff:  前辈A1.0 先辈B0.5 长辈B0.5
  	class: 结交  	d: 7  	pt: 2.0  	diff:  相交A0.6666666666666666 结识A0.3333333333333333 交游B1.0
  	class: 好友  	d: 10  	pt: 2.0  	diff:  好友A1.0 知音B1.0
  	class: 匹敌  	d: 21  	pt: 2.0  	diff:  媲美A0.5 打平A0.5 分庭抗礼B0.5 匹敌B0.5
  	class: 物主  	d: 7  	pt: 2.0  	diff:  持有人A1.0 主人B1.0
  	class: 保证人  	d: 10  	pt: 2.0  	diff:  行为人A1.0 责任人B0.5 担保人B0.25 责任人员B0.25
  	class: 被告人  	d: 3  	pt: 2.0  	diff:  被告A1.0 被告人B1.0
  	class: 新娘  	d: 6  	pt: 2.0  	diff:  新人A1.0 新娘B1.0
  	class: 女朋友  	d: 2  	pt: 2.0  	diff:  女朋友A1.0 女友B1.0
  	class: 流氓  	d: 10  	pt: 2.0  	diff:  流氓A1.0 刺头B1.0
  	class: 文雅  	d: 24  	pt: 2.0  	diff:  文静A1.0 秀气B1.0
  	class: 老练  	d: 15  	pt: 2.0  	diff:  老练A1.0 老道B1.0
  	class: 侵略  	d: 8  	pt: 2.0  	diff:  侵入A1.0 入侵B0.75 侵略B0.25
  	class: 入侵者  	d: 3  	pt: 2.0  	diff:  入侵者A1.0 侵略者B1.0
  	class: 布置  	d: 8  	pt: 2.0  	diff:  摆放A0.6666666666666666 布置A0.3333333333333333 摆B1.0
  	class: 礼貌  	d: 6  	pt: 2.0  	diff:  礼貌A1.0 礼B1.0
