learn:dsjwz.csv check:xsx.csv 	 Result: 	0.2695435385074994 	5434 	2109



  	class: 工匠  	d: 7  	pt: 2.0  	diff:  工匠A1.0 手艺人B1.0
  	class: 人才  	d: 13  	pt: 2.0  	diff:  才子A1.0 精英B1.0
  	class: 高个儿  	d: 7  	pt: 2.0  	diff:  巨人A1.0 高个子B1.0
  	class: 月亮  	d: 8  	pt: 2.0  	diff:  月球A1.0 月亮B1.0
  	class: 胞  	d: 7  	pt: 2.0  	diff:  同胞A1.0 亲生B1.0
  	class: 家乡  	d: 18  	pt: 2.0  	diff:  本土A1.0 家乡B0.4788732394366197 乡土B0.014084507042253521 故乡B0.49295774647887325 故土B0.014084507042253521
  	class: 商人  	d: 9  	pt: 2.0  	diff:  商户A0.75 商人A0.125 经纪人A0.125 商贩B1.0
  	class: 烧火  	d: 7  	pt: 2.0  	diff:  燃爆A1.0 着火B1.0
  	class: 服务员  	d: 5  	pt: 2.0  	diff:  服务生A1.0 服务员B1.0
  	class: 下级  	d: 10  	pt: 2.0  	diff:  下属A0.6666666666666666 麾下A0.3333333333333333 手下人B1.0
  	class: 防守  	d: 12  	pt: 2.0  	diff:  防御A1.0 守卫B0.5 防守B0.5
  	class: 护理  	d: 5  	pt: 2.0  	diff:  护理A0.6666666666666666 看护A0.3333333333333333 守护B1.0
  	class: 统治  	d: 12  	pt: 2.0  	diff:  统治A0.75 在位A0.25 当家B1.0
  	class: 重任  	d: 4  	pt: 2.0  	diff:  使命A1.0 重任B1.0
  	class: 第一  	d: 18  	pt: 2.0  	diff:  头条A0.9574468085106383 首任A0.02127659574468085 元A0.02127659574468085 头版B1.0
  	class: 逃跑  	d: 23  	pt: 2.0  	diff:  逃逸A0.5 潜A0.5 逃跑B1.0
  	class: 夫妻  	d: 8  	pt: 2.0  	diff:  夫妇A1.0 夫妻B1.0
  	class: 上辈  	d: 4  	pt: 2.0  	diff:  前辈A1.0 长辈B1.0
  	class: 相投  	d: 20  	pt: 2.0  	diff:  投机A1.0 合拍B1.0
  	class: 上臂  	d: 4  	pt: 2.0  	diff:  臂A1.0 前臂B1.0
  	class: 贵  	d: 9  	pt: 2.0  	diff:  宝A1.0 台B1.0
  	class: 流氓  	d: 10  	pt: 2.0  	diff:  流氓A1.0 痞子B1.0
  	class: 好榜样  	d: 4  	pt: 2.0  	diff:  模范A1.0 表率B1.0
  	class: 禅  	d: 6  	pt: 2.0  	diff:  僧A1.0 佛B1.0
  	class: 老练  	d: 15  	pt: 2.0  	diff:  老练A1.0 早熟B1.0
  	class: 盗窃  	d: 18  	pt: 2.0  	diff:  盗窃A0.3333333333333333 偷走A0.3333333333333333 盗取A0.3333333333333333 偷窃B0.3333333333333333 偷B0.6666666666666666
  	class: 必需品  	d: 5  	pt: 2.0  	diff:  消费品A1.0 用品B1.0
  	class: 备件  	d: 5  	pt: 2.0  	diff:  配件A1.0 附件B1.0
  	class: 淫荡  	d: 13  	pt: 2.0  	diff:  淫秽A1.0 浪B1.0
  	class: 阻塞  	d: 25  	pt: 2.0  	diff:  阻塞A0.5 拥塞A0.5 梗B0.5 不通B0.125 打断B0.125 淤B0.125 隔阂B0.125
