learn:gkw.csv check:jqzx.csv 	 Result: 	0.21188166236051553 	6984 	2547



  	class: 子  	d: 3  	pt: 2.0  	diff:  儿子A1.0 小子B1.0
  	class: 住户  	d: 8  	pt: 2.0  	diff:  人烟A1.0 居家B0.5 住户B0.5
  	class: 兄弟  	d: 9  	pt: 2.0  	diff:  兄弟A0.7272727272727273 哥俩A0.09090909090909091 手足A0.18181818181818182 昆仲B1.0
  	class: 舵手  	d: 4  	pt: 2.0  	diff:  舵手A1.0 掌舵B1.0
  	class: 炊事员  	d: 7  	pt: 2.0  	diff:  炊事员A0.4 主厨A0.2 名厨A0.4 厨师B1.0
  	class: 高足  	d: 3  	pt: 2.0  	diff:  高材生A1.0 高徒B1.0
  	class: 歌手  	d: 8  	pt: 2.0  	diff:  歌手A1.0 演唱者B1.0
  	class: 帝国主义  	d: 2  	pt: 2.0  	diff:  帝A1.0 帝国主义B1.0
  	class: 重任  	d: 4  	pt: 2.0  	diff:  重任A1.0 使命B1.0
  	class: 烟鬼  	d: 4  	pt: 2.0  	diff:  烟民A1.0 吸烟者B1.0
  	class: 子孙  	d: 14  	pt: 2.0  	diff:  后人A0.8333333333333334 后裔A0.16666666666666666 子代B1.0
  	class: 结交  	d: 7  	pt: 2.0  	diff:  结识A1.0 相交B1.0
  	class: 好友  	d: 10  	pt: 2.0  	diff:  好友A1.0 知音B1.0
  	class: 媒人  	d: 9  	pt: 2.0  	diff:  媒A1.0 媒介B1.0
  	class: 圣贤  	d: 17  	pt: 2.0  	diff:  圣人A1.0 先知B0.9444444444444444 哲人B0.05555555555555555
  	class: 糟粕  	d: 9  	pt: 2.0  	diff:  残渣A1.0 余烬B1.0
  	class: 诗人  	d: 4  	pt: 2.0  	diff:  诗人A1.0 词人B1.0
  	class: 花  	d: 5  	pt: 2.0  	diff:  花儿A1.0 英B1.0
  	class: 盗窃  	d: 18  	pt: 2.0  	diff:  偷A0.5 盗取A0.08333333333333333 盗伐A0.3333333333333333 偷走A0.08333333333333333 偷窃B1.0
  	class: 器具  	d: 4  	pt: 2.0  	diff:  用具A0.18181818181818182 器物A0.09090909090909091 器材A0.7272727272727273 器具B1.0
  	class: 情欲  	d: 5  	pt: 2.0  	diff:  性欲A0.6666666666666666 春A0.3333333333333333 人事B1.0
  	class: 砖  	d: 4  	pt: 2.0  	diff:  砖A1.0 砖石B0.5 砖块B0.5
  	class: 掐  	d: 4  	pt: 2.0  	diff:  掐A0.3333333333333333 捏A0.6666666666666666 把子B1.0
  	class: 车轮  	d: 5  	pt: 2.0  	diff:  车轮A1.0 轮B0.9047619047619048 轮子B0.09523809523809523
  	class: 正派  	d: 12  	pt: 2.0  	diff:  自重A1.0 不俗B1.0
  	class: 背  	d: 17  	pt: 2.0  	diff:  背A0.6363636363636364 背着A0.36363636363636365 负重B1.0
  	class: 阴  	d: 11  	pt: 2.0  	diff:  阴A0.6666666666666666 阴暗A0.3333333333333333 阴天B1.0
  	class: 握手  	d: 3  	pt: 2.0  	diff:  握手A1.0 抓手B1.0
  	class: 打架  	d: 16  	pt: 2.0  	diff:  交手A0.2 斗A0.6 打斗A0.2 打架B1.0
