learn:gkw.csv check:ktx.csv 	 Result: 	0.22473286489119315 	8481 	3091



  	class: 家伙  	d: 5  	pt: 2.0  	diff:  小崽子A1.0 兔崽子B1.0
  	class: 住户  	d: 8  	pt: 2.0  	diff:  人烟A1.0 住户B0.3333333333333333 居家B0.6666666666666666
  	class: 年老  	d: 24  	pt: 2.0  	diff:  早衰A0.3333333333333333 年老A0.6666666666666666 年迈B0.25 大龄B0.5 苍老B0.25
  	class: 嫂子  	d: 5  	pt: 2.0  	diff:  嫂A1.0 大嫂B1.0
  	class: 阁下  	d: 4  	pt: 2.0  	diff:  足下A1.0 同志B0.8461538461538461 阁下B0.15384615384615385
  	class: 修长  	d: 6  	pt: 2.0  	diff:  修长A1.0 高挑B1.0
  	class: 职员  	d: 6  	pt: 2.0  	diff:  职员A1.0 高干B0.5 老干部B0.25 干部B0.25
  	class: 小贩  	d: 6  	pt: 2.0  	diff:  小商贩A1.0 二道贩子B0.3333333333333333 贩子B0.6666666666666666
  	class: 总司令  	d: 13  	pt: 2.0  	diff:  司令A1.0 主帅B1.0
  	class: 勇士  	d: 8  	pt: 2.0  	diff:  武士A0.5 勇士A0.5 壮士B1.0
  	class: 情报员  	d: 14  	pt: 2.0  	diff:  间谍A1.0 眼线B1.0
  	class: 教官  	d: 4  	pt: 2.0  	diff:  教官A1.0 主教练B1.0
  	class: 富翁  	d: 19  	pt: 2.0  	diff:  富人A1.0 富家B0.1 富商B0.2 有钱人B0.6 暴发户B0.1
  	class: 妃子  	d: 4  	pt: 2.0  	diff:  贵妃A1.0 妃子B1.0
  	class: 统治  	d: 12  	pt: 2.0  	diff:  统治A0.5833333333333334 在位A0.25 执政A0.16666666666666666 掌印B0.5 当家B0.5
  	class: 吸血鬼  	d: 2  	pt: 2.0  	diff:  寄生虫A1.0 吸血鬼B1.0
  	class: 输家  	d: 3  	pt: 2.0  	diff:  输家A1.0 失败者B1.0
  	class: 朋友  	d: 6  	pt: 2.0  	diff:  朋A1.0 哥儿们B1.0
  	class: 结交  	d: 7  	pt: 2.0  	diff:  结识A1.0 会友B1.0
  	class: 相识  	d: 3  	pt: 2.0  	diff:  相识A1.0 相知B1.0
  	class: 旧交  	d: 7  	pt: 2.0  	diff:  故人A1.0 老朋友B1.0
  	class: 主妇  	d: 4  	pt: 2.0  	diff:  主妇A1.0 女主人B1.0
  	class: 客人  	d: 4  	pt: 2.0  	diff:  来客A1.0 来宾B1.0
  	class: 柱  	d: 5  	pt: 2.0  	diff:  柱子A0.2 柱头A0.4 支柱A0.4 柱B1.0
  	class: 鳖  	d: 9  	pt: 2.0  	diff:  鳖A1.0 甲鱼B1.0
  	class: 糟粕  	d: 9  	pt: 2.0  	diff:  残渣A1.0 糟粕B1.0
  	class: 流氓  	d: 10  	pt: 2.0  	diff:  流氓A1.0 刺儿头B1.0
  	class: 魔鬼  	d: 7  	pt: 2.0  	diff:  死神A0.8571428571428571 魔鬼A0.14285714285714285 魔B1.0
  	class: 文雅  	d: 24  	pt: 2.0  	diff:  风雅A1.0 雍容B0.3333333333333333 文静B0.6666666666666666
