learn:gkw.csv check:mm.csv 	 Result: 	0.24131683703322554 	6319 	2290



  	class: 望族  	d: 9  	pt: 2.0  	diff:  世家A1.0 豪门B1.0
  	class: 仕女  	d: 4  	pt: 2.0  	diff:  贵妇人A1.0 贵妇B1.0
  	class: 长辈  	d: 6  	pt: 2.0  	diff:  老前辈A0.05263157894736842 老人A0.6842105263157895 老一辈A0.2631578947368421 老辈B1.0
  	class: 幼小  	d: 12  	pt: 2.0  	diff:  乳A0.2 幼A0.6 毛头A0.2 幼小B1.0
  	class: 口吃  	d: 5  	pt: 2.0  	diff:  口吃A1.0 结巴B1.0
  	class: 侦查  	d: 11  	pt: 2.0  	diff:  侦查A1.0 侦探B1.0
  	class: 姨母  	d: 6  	pt: 2.0  	diff:  姨妈A0.9090909090909091 姨A0.09090909090909091 姨母B1.0
  	class: 歌手  	d: 8  	pt: 2.0  	diff:  歌手A1.0 歌星B1.0
  	class: 乳房  	d: 3  	pt: 2.0  	diff:  胸部A0.2 乳房A0.8 奶子B1.0
  	class: 富翁  	d: 19  	pt: 2.0  	diff:  富人A1.0 有钱人B0.4 大款B0.2 暴发户B0.4
  	class: 头领  	d: 15  	pt: 2.0  	diff:  把头A0.5 头头A0.5 头目B1.0
  	class: 嫁  	d: 9  	pt: 2.0  	diff:  嫁人A1.0 嫁B0.5 妻B0.5
  	class: 古人  	d: 5  	pt: 2.0  	diff:  古人A1.0 原始人B1.0
  	class: 朋友  	d: 6  	pt: 2.0  	diff:  朋A1.0 友人B1.0
  	class: 结交  	d: 7  	pt: 2.0  	diff:  结识A1.0 结交B1.0
  	class: 旧交  	d: 7  	pt: 2.0  	diff:  故人A1.0 老朋友B1.0
  	class: 助手  	d: 11  	pt: 2.0  	diff:  助手A1.0 帮厨B1.0
  	class: 圣贤  	d: 17  	pt: 2.0  	diff:  圣人A1.0 哲B1.0
  	class: 把持  	d: 7  	pt: 2.0  	diff:  专A0.5 垄断A0.25 独占A0.25 霸B1.0
  	class: 资料  	d: 5  	pt: 2.0  	diff:  材料A0.6842105263157895 资料A0.3026315789473684 素材A0.013157894736842105 材B1.0
  	class: 老练  	d: 15  	pt: 2.0  	diff:  老道A0.3333333333333333 老练A0.6666666666666666 老气B1.0
  	class: 指使  	d: 2  	pt: 2.0  	diff:  主使A1.0 指使B1.0
  	class: 体裁  	d: 4  	pt: 2.0  	diff:  体A0.92 体裁A0.04 样式A0.04 体制B1.0
  	class: 情欲  	d: 5  	pt: 2.0  	diff:  性欲A0.6666666666666666 春A0.3333333333333333 人事B1.0
  	class: 贵重  	d: 15  	pt: 2.0  	diff:  珍贵A0.6666666666666666 不菲A0.2222222222222222 珍A0.1111111111111111 贵重B1.0
  	class: 刻板  	d: 19  	pt: 2.0  	diff:  刻板A1.0 呆板B0.5 死板B0.5
  	class: 正派  	d: 12  	pt: 2.0  	diff:  自重A1.0 自爱B1.0
  	class: 外地  	d: 6  	pt: 2.0  	diff:  异乡A0.4 外地A0.6 异地B1.0
  	class: 脚  	d: 8  	pt: 2.0  	diff:  脚蹼A1.0 脚丫子B1.0
  	class: 住宿  	d: 10  	pt: 2.0  	diff:  寄宿A1.0 借宿B1.0
