learn:gkw.csv check:xkd.csv 	 Result: 	0.24434943820435345 	8137 	2867



  	class: 棒  	d: 8  	pt: 2.0  	diff:  棍子A1.0 大棒B1.0
  	class: 辈分  	d: 5  	pt: 2.0  	diff:  辈分A1.0 辈B1.0
  	class: 阁下  	d: 4  	pt: 2.0  	diff:  足下A1.0 同志B1.0
  	class: 媳妇  	d: 9  	pt: 2.0  	diff:  媳妇A1.0 儿媳妇B1.0
  	class: 职员  	d: 6  	pt: 2.0  	diff:  职员A1.0 干部B1.0
  	class: 从业员  	d: 4  	pt: 2.0  	diff:  店员A1.0 营业员B1.0
  	class: 水利工程  	d: 4  	pt: 2.0  	diff:  水利工程A1.0 水利B1.0
  	class: 舵手  	d: 4  	pt: 2.0  	diff:  舵手A1.0 掌舵B1.0
  	class: 骑兵  	d: 4  	pt: 2.0  	diff:  骑士A1.0 骑兵B1.0
  	class: 可憎  	d: 12  	pt: 2.0  	diff:  丑A0.8666666666666667 烦人A0.1 恼人A0.03333333333333333 可恨B1.0
  	class: 帝国主义  	d: 2  	pt: 2.0  	diff:  帝A1.0 帝国主义B1.0
  	class: 头领  	d: 15  	pt: 2.0  	diff:  把头A0.5 头头A0.5 头子B0.014492753623188406 头目B0.07246376811594203 领导人B0.8985507246376812 带头人B0.014492753623188406
  	class: 独裁者  	d: 4  	pt: 2.0  	diff:  独裁者A1.0 铁腕B1.0
  	class: 吸血鬼  	d: 2  	pt: 2.0  	diff:  寄生虫A1.0 吸血鬼B1.0
  	class: 俘虏  	d: 13  	pt: 2.0  	diff:  俘获A1.0 俘虏B1.0
  	class: 输家  	d: 3  	pt: 2.0  	diff:  输家A1.0 失败者B1.0
  	class: 父辈  	d: 10  	pt: 2.0  	diff:  大叔A0.5555555555555556 大爷A0.2222222222222222 父辈A0.2222222222222222 叔叔B1.0
  	class: 平坦  	d: 9  	pt: 2.0  	diff:  坦A0.25 平滑A0.25 平坦A0.5 坦荡B1.0
  	class: 结交  	d: 7  	pt: 2.0  	diff:  结识A1.0 交游B1.0
  	class: 好友  	d: 10  	pt: 2.0  	diff:  好友A1.0 知音B1.0
  	class: 被告人  	d: 3  	pt: 2.0  	diff:  被告A1.0 被告人B1.0
  	class: 硬汉  	d: 9  	pt: 2.0  	diff:  铁汉A0.14285714285714285 勇敢者A0.8571428571428571 硬骨头B0.5 硬汉B0.5
  	class: 强盗  	d: 12  	pt: 2.0  	diff:  强盗A0.5 异客A0.5 强人B1.0
  	class: 圣贤  	d: 17  	pt: 2.0  	diff:  圣人A1.0 先知B1.0
  	class: 流氓  	d: 10  	pt: 2.0  	diff:  流氓A1.0 刺头B1.0
  	class: 恶霸  	d: 3  	pt: 2.0  	diff:  霸王A1.0 恶霸B1.0
  	class: 主犯  	d: 11  	pt: 2.0  	diff:  元凶A1.0 要犯B1.0
  	class: 文雅  	d: 24  	pt: 2.0  	diff:  风雅A1.0 秀气B1.0
  	class: 阴险  	d: 17  	pt: 2.0  	diff:  用心险恶A1.0 贼B1.0
  	class: 指使  	d: 2  	pt: 2.0  	diff:  主使A1.0 指使B1.0
