learn:gkw.csv check:xsx.csv 	 Result: 	0.23860275317622354 	7431 	2775



  	class: 辈分  	d: 5  	pt: 2.0  	diff:  辈分A1.0 辈B1.0
  	class: 住户  	d: 8  	pt: 2.0  	diff:  人烟A1.0 居家B0.5 住户B0.5
  	class: 阁下  	d: 4  	pt: 2.0  	diff:  足下A1.0 同志B1.0
  	class: 高个儿  	d: 7  	pt: 2.0  	diff:  巨人A1.0 高个子B1.0
  	class: 仙女  	d: 3  	pt: 2.0  	diff:  仙女A1.0 仙子B1.0
  	class: 口吃  	d: 5  	pt: 2.0  	diff:  口吃A1.0 结巴B1.0
  	class: 伙计  	d: 4  	pt: 2.0  	diff:  老搭档A1.0 同路人B1.0
  	class: 炊事员  	d: 7  	pt: 2.0  	diff:  炊事员A0.4 主厨A0.2 名厨A0.4 厨师B1.0
  	class: 下级  	d: 10  	pt: 2.0  	diff:  下属A0.8333333333333334 部下A0.16666666666666666 手下人B1.0
  	class: 防守  	d: 12  	pt: 2.0  	diff:  防御A1.0 守卫B0.5 防守B0.5
  	class: 配角  	d: 4  	pt: 2.0  	diff:  配角A1.0 班底B1.0
  	class: 实施者  	d: 2  	pt: 2.0  	diff:  实施者A1.0 执行者B1.0
  	class: 贵族  	d: 2  	pt: 2.0  	diff:  贵族A1.0 大公B1.0
  	class: 统治  	d: 12  	pt: 2.0  	diff:  统治A0.5833333333333334 在位A0.25 执政A0.16666666666666666 当家B1.0
  	class: 第一  	d: 18  	pt: 2.0  	diff:  头条A0.875 处女A0.125 头版B1.0
  	class: 俘虏  	d: 13  	pt: 2.0  	diff:  俘获A1.0 生擒B1.0
  	class: 输家  	d: 3  	pt: 2.0  	diff:  输家A1.0 失败者B1.0
  	class: 旅客  	d: 4  	pt: 2.0  	diff:  旅客A1.0 行人B0.5 游子B0.5
  	class: 后人  	d: 12  	pt: 2.0  	diff:  继任者A0.6666666666666666 继承人A0.3333333333333333 膝下B1.0
  	class: 旧交  	d: 7  	pt: 2.0  	diff:  故人A1.0 老朋友B0.75 老友B0.25
  	class: 上臂  	d: 4  	pt: 2.0  	diff:  臂A0.4166666666666667 上臂A0.5833333333333334 前臂B1.0
  	class: 腰  	d: 7  	pt: 2.0  	diff:  腰部A1.0 腰杆B1.0
  	class: 媒人  	d: 9  	pt: 2.0  	diff:  媒A1.0 媒介B1.0
  	class: 贵  	d: 9  	pt: 2.0  	diff:  宝A1.0 台B1.0
  	class: 流氓  	d: 10  	pt: 2.0  	diff:  流氓A1.0 痞子B1.0
  	class: 杰作  	d: 16  	pt: 2.0  	diff:  杰作A0.5 名著A0.5 名作B1.0
  	class: 老练  	d: 15  	pt: 2.0  	diff:  老道A0.3333333333333333 老练A0.6666666666666666 早熟B1.0
  	class: 阴险  	d: 17  	pt: 2.0  	diff:  用心险恶A1.0 贼B1.0
  	class: 体裁  	d: 4  	pt: 2.0  	diff:  体A0.92 体裁A0.04 样式A0.04 体制B1.0
  	class: 硫磺  	d: 2  	pt: 2.0  	diff:  硫A1.0 硫磺B1.0
  	class: 负担  	d: 2  	pt: 2.0  	diff:  担子A1.0 包袱B1.0
