learn:jqzx.csv check:ktx.csv 	 Result: 	0.2569431958915171 	6229 	2230



  	class: 职员  	d: 6  	pt: 2.0  	diff:  职员A1.0 高干B0.5 老干部B0.25 干部B0.25
  	class: 烧火  	d: 7  	pt: 2.0  	diff:  着火A1.0 生火B1.0
  	class: 审判员  	d: 11  	pt: 2.0  	diff:  法官A1.0 大法官B1.0
  	class: 高足  	d: 3  	pt: 2.0  	diff:  高徒A1.0 高材生B1.0
  	class: 判决  	d: 7  	pt: 2.0  	diff:  裁断A0.5 裁决A0.5 判决B1.0
  	class: 统治  	d: 12  	pt: 2.0  	diff:  执政A1.0 掌印B0.5 当家B0.5
  	class: 头领  	d: 15  	pt: 2.0  	diff:  领导人A0.6666666666666666 头儿A0.3333333333333333 把头B1.0
  	class: 人杰  	d: 6  	pt: 2.0  	diff:  佼佼者A1.0 尖儿B1.0
  	class: 逃跑  	d: 23  	pt: 2.0  	diff:  潜A1.0 出逃B0.5 逃亡B0.5
  	class: 囚禁  	d: 9  	pt: 2.0  	diff:  囚禁A1.0 禁锢B1.0
  	class: 结交  	d: 7  	pt: 2.0  	diff:  相交A1.0 会友B1.0
  	class: 柱  	d: 5  	pt: 2.0  	diff:  支柱A1.0 柱B1.0
  	class: 代表  	d: 3  	pt: 2.0  	diff:  代理人A1.0 委托人B1.0
  	class: 糟粕  	d: 9  	pt: 2.0  	diff:  余烬A1.0 糟粕B1.0
  	class: 诗人  	d: 4  	pt: 2.0  	diff:  词人A1.0 诗人B1.0
  	class: 花  	d: 5  	pt: 2.0  	diff:  英A1.0 花儿B1.0
  	class: 罪犯  	d: 9  	pt: 2.0  	diff:  囚徒A1.0 人犯B1.0
  	class: 盗窃  	d: 18  	pt: 2.0  	diff:  偷窃A1.0 偷B0.8 偷走B0.2
  	class: 情欲  	d: 5  	pt: 2.0  	diff:  人事A1.0 性欲B1.0
  	class: 破烂  	d: 10  	pt: 2.0  	diff:  破碎A1.0 破烂B0.5 麻花B0.5
  	class: 堆  	d: 7  	pt: 2.0  	diff:  码A1.0 坨B1.0
  	class: 切片  	d: 5  	pt: 2.0  	diff:  切除A1.0 切块B1.0
  	class: 静脉  	d: 5  	pt: 2.0  	diff:  静脉A1.0 筋B1.0
  	class: 阴  	d: 11  	pt: 2.0  	diff:  阴天A1.0 阴暗B1.0
  	class: 倾  	d: 6  	pt: 2.0  	diff:  倾斜A0.25 侧A0.75 歪B0.75 斜B0.25
  	class: 高空  	d: 11  	pt: 2.0  	diff:  太空A1.0 高空B1.0
  	class: 明显  	d: 53  	pt: 2.0  	diff:  确定性A0.7 简明A0.3 扎眼B0.375 分明B0.5 醒目B0.125
  	class: 岩石  	d: 3  	pt: 2.0  	diff:  岩石A1.0 岩B1.0
  	class: 山顶  	d: 9  	pt: 2.0  	diff:  峰顶A1.0 山顶B1.0
  	class: 烟  	d: 3  	pt: 2.0  	diff:  烟雾A1.0 云烟B1.0
  	class: 潮汛  	d: 6  	pt: 2.0  	diff:  潮汐A1.0 潮水B1.0
