learn:jqzx.csv check:mm.csv 	 Result: 	0.29404860406994177 	4538 	1732



  	class: 人数  	d: 8  	pt: 2.0  	diff:  人口A0.19444444444444445 人数A0.7777777777777778 人头A0.027777777777777776 口B1.0
  	class: 男人  	d: 9  	pt: 2.0  	diff:  男子A1.0 男士B1.0
  	class: 人民  	d: 19  	pt: 2.0  	diff:  平民A0.1 公民A0.65 百姓A0.05 全员A0.15 国民A0.05 全民B1.0
  	class: 兄弟  	d: 9  	pt: 2.0  	diff:  昆仲A1.0 哥们B0.5 兄弟B0.5
  	class: 长辈  	d: 6  	pt: 2.0  	diff:  老一辈A1.0 老辈B1.0
  	class: 父  	d: 15  	pt: 2.0  	diff:  父A0.8125 父亲A0.1875 老子B0.30434782608695654 爸B0.45652173913043476 爸爸B0.2391304347826087
  	class: 家乡  	d: 18  	pt: 2.0  	diff:  本土A1.0 家乡B1.0
  	class: 画家  	d: 2  	pt: 2.0  	diff:  画家A1.0 画师B1.0
  	class: 烧火  	d: 7  	pt: 2.0  	diff:  着火A1.0 燃爆B1.0
  	class: 协商  	d: 25  	pt: 2.0  	diff:  协议A0.49230769230769234 商A0.046153846153846156 说道A0.4153846153846154 协商A0.03076923076923077 议A0.015384615384615385 情商B1.0
  	class: 士兵  	d: 19  	pt: 2.0  	diff:  战士A1.0 士兵B1.0
  	class: 护理  	d: 5  	pt: 2.0  	diff:  护理A0.75 照护A0.25 守护B1.0
  	class: 歌手  	d: 8  	pt: 2.0  	diff:  演唱者A1.0 歌星B1.0
  	class: 乳房  	d: 3  	pt: 2.0  	diff:  胸部A0.5714285714285714 乳房A0.42857142857142855 奶子B1.0
  	class: 头领  	d: 15  	pt: 2.0  	diff:  领导人A0.6666666666666666 头儿A0.3333333333333333 头目B1.0
  	class: 第一  	d: 18  	pt: 2.0  	diff:  元A0.4594594594594595 首度A0.05405405405405406 头条A0.4594594594594595 正负A0.02702702702702703 处女B1.0
  	class: 逃跑  	d: 23  	pt: 2.0  	diff:  潜A1.0 逃走B0.3333333333333333 逃跑B0.6666666666666666
  	class: 后人  	d: 12  	pt: 2.0  	diff:  继承者A0.6 继任者A0.2 接班人A0.2 继承人B1.0
  	class: 结交  	d: 7  	pt: 2.0  	diff:  相交A1.0 结交B1.0
  	class: 好友  	d: 10  	pt: 2.0  	diff:  知音A1.0 好友B1.0
  	class: 丹心  	d: 15  	pt: 2.0  	diff:  诚意A1.0 热血B0.5 真情B0.5
  	class: 陪伴  	d: 7  	pt: 2.0  	diff:  伴随A0.8125 伴A0.1875 陪B0.8611111111111112 陪伴B0.1388888888888889
  	class: 下  	d: 15  	pt: 2.0  	diff:  投放A0.5 排放A0.125 下头A0.125 产A0.25 脚B1.0
  	class: 助手  	d: 11  	pt: 2.0  	diff:  助手A1.0 帮厨B1.0
  	class: 主持人  	d: 4  	pt: 2.0  	diff:  主席A1.0 主持人B1.0
  	class: 保证人  	d: 10  	pt: 2.0  	diff:  总负责人A1.0 担保人B1.0
  	class: 圣贤  	d: 17  	pt: 2.0  	diff:  先知A0.9444444444444444 哲人A0.05555555555555555 哲B1.0
