learn:jqzx.csv check:xkd.csv 	 Result: 	0.2487583258994408 	6133 	2237



  	class: 知识分子  	d: 21  	pt: 2.0  	diff:  学士A1.0 知识分子B1.0
  	class: 外人  	d: 10  	pt: 2.0  	diff:  陌生人A1.0 闲人B0.5 旁观者B0.5
  	class: 子  	d: 3  	pt: 2.0  	diff:  小子A1.0 儿子B1.0
  	class: 兄弟  	d: 9  	pt: 2.0  	diff:  昆仲A1.0 兄弟B0.8666666666666667 弟兄B0.13333333333333333
  	class: 成年人  	d: 5  	pt: 2.0  	diff:  成年人A1.0 中年人B1.0
  	class: 职员  	d: 6  	pt: 2.0  	diff:  职员A1.0 干部B1.0
  	class: 从业员  	d: 4  	pt: 2.0  	diff:  店员A1.0 营业员B1.0
  	class: 卖家  	d: 4  	pt: 2.0  	diff:  卖家A1.0 卖方B1.0
  	class: 护理  	d: 5  	pt: 2.0  	diff:  护理A0.75 照护A0.25 看护B0.3333333333333333 守护B0.6666666666666666
  	class: 星辰  	d: 8  	pt: 2.0  	diff:  星A0.8181818181818182 星球A0.18181818181818182 星辰B1.0
  	class: 歌手  	d: 8  	pt: 2.0  	diff:  演唱者A1.0 歌手B0.5 歌者B0.5
  	class: 可憎  	d: 12  	pt: 2.0  	diff:  恼人A0.5 丑A0.5 可恨B1.0
  	class: 女皇  	d: 2  	pt: 2.0  	diff:  女王A1.0 女皇B1.0
  	class: 创建者  	d: 8  	pt: 2.0  	diff:  缔造者A0.2 奠基人A0.2 创作者A0.4 创建人A0.06666666666666667 创建者A0.13333333333333333 创立者B0.5 开创者B0.5
  	class: 逃跑  	d: 23  	pt: 2.0  	diff:  潜A1.0 逃亡B0.5 逃逸B0.5
  	class: 囚禁  	d: 9  	pt: 2.0  	diff:  囚禁A1.0 禁锢B1.0
  	class: 抵押  	d: 3  	pt: 2.0  	diff:  质A1.0 质押B1.0
  	class: 父辈  	d: 10  	pt: 2.0  	diff:  大叔A0.5 大爷A0.5 叔叔B1.0
  	class: 妹  	d: 6  	pt: 2.0  	diff:  妹子A1.0 妹妹B0.5 妹B0.25 胞妹B0.25
  	class: 子孙  	d: 14  	pt: 2.0  	diff:  子代A1.0 后人B1.0
  	class: 平坦  	d: 9  	pt: 2.0  	diff:  平滑A0.5357142857142857 平坦A0.4642857142857143 坦荡B1.0
  	class: 结交  	d: 7  	pt: 2.0  	diff:  相交A1.0 交游B1.0
  	class: 保证人  	d: 10  	pt: 2.0  	diff:  总负责人A1.0 责任人B0.5 担保人B0.25 责任人员B0.25
  	class: 被告人  	d: 3  	pt: 2.0  	diff:  被告A1.0 被告人B1.0
  	class: 新娘  	d: 6  	pt: 2.0  	diff:  新人A1.0 新娘B1.0
  	class: 凶残  	d: 9  	pt: 2.0  	diff:  残酷A1.0 残忍B0.5 暴虐B0.5
  	class: 诗人  	d: 4  	pt: 2.0  	diff:  词人A1.0 诗人B1.0
  	class: 端  	d: 5  	pt: 2.0  	diff:  尖头A1.0 末流B1.0
  	class: 盗窃  	d: 18  	pt: 2.0  	diff:  偷窃A1.0 偷走B0.5 盗窃B0.5
  	class: 入侵者  	d: 3  	pt: 2.0  	diff:  入侵者A1.0 侵略者B1.0
