learn:jqzx.csv check:xsx.csv 	 Result: 	0.2693865802242115 	5336 	2008



  	class: 引起  	d: 9  	pt: 2.0000000000000004  	diff:  引A1.0 逗B0.3 招惹B0.1 唤起B0.1 惹B0.4 挑起B0.1
  	class: 子  	d: 3  	pt: 2.0  	diff:  小子A1.0 儿子B1.0
  	class: 兄弟  	d: 9  	pt: 2.0  	diff:  昆仲A1.0 兄弟B0.4666666666666667 哥们B0.4 哥们儿B0.13333333333333333
  	class: 女人  	d: 11  	pt: 2.0  	diff:  女士A0.8333333333333334 妇女A0.16666666666666666 女子B1.0
  	class: 长辈  	d: 6  	pt: 2.0  	diff:  老一辈A1.0 老人B1.0
  	class: 高个儿  	d: 7  	pt: 2.0  	diff:  巨人A1.0 高个子B1.0
  	class: 家乡  	d: 18  	pt: 2.0  	diff:  本土A1.0 家乡B0.4788732394366197 乡土B0.014084507042253521 故乡B0.49295774647887325 故土B0.014084507042253521
  	class: 文件  	d: 6  	pt: 2.0  	diff:  文件A0.2845394736842105 文本A0.7154605263157895 文书B1.0
  	class: 护理  	d: 5  	pt: 2.0  	diff:  护理A0.75 照护A0.25 守护B1.0
  	class: 歌手  	d: 8  	pt: 2.0  	diff:  演唱者A1.0 歌手B1.0
  	class: 贵族  	d: 2  	pt: 2.0  	diff:  贵族A1.0 大公B1.0
  	class: 统治  	d: 12  	pt: 2.0  	diff:  执政A1.0 当家B1.0
  	class: 重任  	d: 4  	pt: 2.0  	diff:  使命A1.0 重任B1.0
  	class: 第一  	d: 18  	pt: 2.0  	diff:  元A0.4594594594594595 首度A0.05405405405405406 头条A0.4594594594594595 正负A0.02702702702702703 头版B1.0
  	class: 逃跑  	d: 23  	pt: 2.0  	diff:  潜A1.0 逃跑B1.0
  	class: 后人  	d: 12  	pt: 2.0  	diff:  继承者A0.6 继任者A0.2 接班人A0.2 膝下B1.0
  	class: 上臂  	d: 4  	pt: 2.0  	diff:  臂A1.0 前臂B1.0
  	class: 屋主  	d: 5  	pt: 2.0  	diff:  房主A1.0 房东B1.0
  	class: 勇敢  	d: 51  	pt: 2.0  	diff:  大胆A1.0 勇敢B0.8461538461538461 无畏B0.07692307692307693 勇于B0.07692307692307693
  	class: 贵  	d: 9  	pt: 2.0  	diff:  宝A1.0 台B1.0
  	class: 杰作  	d: 16  	pt: 2.0  	diff:  杰作A0.3333333333333333 名著A0.6666666666666666 名作B1.0
  	class: 诗人  	d: 4  	pt: 2.0  	diff:  词人A1.0 诗人B1.0
  	class: 内行  	d: 8  	pt: 2.0  	diff:  行家A1.0 老手B1.0
  	class: 体裁  	d: 4  	pt: 2.0  	diff:  体A0.9762376237623762 样式A0.023762376237623763 体制B1.0
  	class: 必需品  	d: 5  	pt: 2.0  	diff:  消费品A0.5 日用品A0.5 用品B1.0
  	class: 器具  	d: 4  	pt: 2.0  	diff:  器具A1.0 器材B1.0
  	class: 掐  	d: 4  	pt: 2.0  	diff:  把子A1.0 捏B0.5 掐B0.5
  	class: 车轮  	d: 5  	pt: 2.0  	diff:  轮A0.9047619047619048 轮子A0.09523809523809523 车轮B1.0
  	class: 切片  	d: 5  	pt: 2.0  	diff:  切除A1.0 切块B1.0
