learn:ktx.csv check:mm.csv 	 Result: 	0.2287822316668106 	5626 	2222



  	class: 分  	d: 11  	pt: 2.0  	diff:  隔开A0.5 分支A0.5 分层B1.0
  	class: 长辈  	d: 6  	pt: 2.0  	diff:  老一辈A0.5 老人A0.4166666666666667 老前辈A0.08333333333333333 老辈B1.0
  	class: 修长  	d: 6  	pt: 2.0  	diff:  高挑A1.0 修长B1.0
  	class: 画家  	d: 2  	pt: 2.0  	diff:  画家A1.0 画师B1.0
  	class: 烧火  	d: 7  	pt: 2.0  	diff:  生火A1.0 燃爆B1.0
  	class: 转告  	d: 6  	pt: 2.0  	diff:  传言A1.0 传达B1.0
  	class: 士兵  	d: 19  	pt: 2.0  	diff:  战士A0.75 小将A0.25 士兵B1.0
  	class: 姨母  	d: 6  	pt: 2.0  	diff:  姨妈A0.5 姨A0.5 姨母B1.0
  	class: 乳房  	d: 3  	pt: 2.0  	diff:  胸部A1.0 奶子B1.0
  	class: 圣母  	d: 2  	pt: 2.0  	diff:  娘娘A1.0 圣母B1.0
  	class: 头领  	d: 15  	pt: 2.0  	diff:  把头A1.0 头目B1.0
  	class: 流浪汉  	d: 6  	pt: 2.0  	diff:  流浪者A1.0 流浪汉B1.0
  	class: 逃跑  	d: 23  	pt: 2.0  	diff:  出逃A0.5 逃亡A0.5 逃走B0.3333333333333333 逃跑B0.6666666666666666
  	class: 古人  	d: 5  	pt: 2.0  	diff:  古人A1.0 原始人B1.0
  	class: 朋友  	d: 6  	pt: 2.0  	diff:  哥儿们A1.0 友人B1.0
  	class: 结交  	d: 7  	pt: 2.0  	diff:  会友A1.0 结交B1.0
  	class: 共同  	d: 31  	pt: 2.0  	diff:  旅A0.1 合A0.6 联手A0.1 联合A0.2 合伙B0.5 协同B0.5
  	class: 助手  	d: 11  	pt: 2.0  	diff:  羽翼A0.5 助手A0.5 帮厨B1.0
  	class: 鳖  	d: 9  	pt: 2.0  	diff:  甲鱼A1.0 鳖B1.0
  	class: 流氓  	d: 10  	pt: 2.0  	diff:  刺儿头A1.0 流氓B1.0
  	class: 俊美  	d: 6  	pt: 2.0  	diff:  俊秀A0.14285714285714285 俊美A0.8571428571428571 俏皮B1.0
  	class: 资料  	d: 5  	pt: 2.0  	diff:  材料A0.18181818181818182 素材A0.2727272727272727 资料A0.5454545454545454 材B1.0
  	class: 情欲  	d: 5  	pt: 2.0  	diff:  性欲A1.0 人事B1.0
  	class: 贵重  	d: 15  	pt: 2.0  	diff:  不菲A0.09090909090909091 珍贵A0.7272727272727273 可贵A0.18181818181818182 贵重B1.0
  	class: 卷  	d: 4  	pt: 2.0  	diff:  窝A1.0 卷起B1.0
  	class: 住宿  	d: 10  	pt: 2.0  	diff:  寄宿A0.5 住宿A0.5 借宿B1.0
  	class: 高空  	d: 11  	pt: 2.0  	diff:  高空A1.0 太空B1.0
  	class: 草坪  	d: 5  	pt: 2.0  	diff:  绿地A0.5 草坪A0.5 草地B1.0
  	class: 雪  	d: 8  	pt: 2.0  	diff:  冰雪A1.0 雪花B1.0
  	class: 暖气  	d: 5  	pt: 2.0  	diff:  热气A1.0 暖气B1.0
