learn:ktx.csv check:xkd.csv 	 Result: 	0.25199638190043355 	7317 	2577



  	class: 劳力  	d: 6  	pt: 2.0  	diff:  工作者A1.0 劳动力B0.9 劳力B0.1
  	class: 预兆  	d: 5  	pt: 2.0  	diff:  征兆A1.0 前兆B1.0
  	class: 从业员  	d: 4  	pt: 2.0  	diff:  店员A1.0 营业员B1.0
  	class: 转告  	d: 6  	pt: 2.0  	diff:  传言A1.0 传达B0.6 转达B0.4
  	class: 小贩  	d: 6  	pt: 2.0  	diff:  二道贩子A0.3333333333333333 贩子A0.6666666666666666 小商贩B1.0
  	class: 官吏  	d: 14  	pt: 2.0  	diff:  臣A1.0 官僚B1.0
  	class: 总司令  	d: 13  	pt: 2.0  	diff:  主帅A1.0 主将B0.16666666666666666 司令员B0.3333333333333333 司令B0.5
  	class: 勇士  	d: 8  	pt: 2.0  	diff:  壮士A1.0 勇士B1.0
  	class: 骑兵  	d: 4  	pt: 2.0  	diff:  骑士A1.0 骑兵B1.0
  	class: 海军  	d: 3  	pt: 2.0  	diff:  水军A1.0 海军B1.0
  	class: 情报员  	d: 14  	pt: 2.0  	diff:  眼线A1.0 间谍B0.7222222222222222 特工B0.2777777777777778
  	class: 教官  	d: 4  	pt: 2.0  	diff:  主教练A1.0 教官B1.0
  	class: 跟随  	d: 7  	pt: 2.0  	diff:  追随A1.0 尾随B0.5 跟随B0.5
  	class: 士绅  	d: 5  	pt: 2.0  	diff:  绅士A1.0 乡绅B1.0
  	class: 女皇  	d: 2  	pt: 2.0  	diff:  女王A1.0 女皇B1.0
  	class: 头领  	d: 15  	pt: 2.0  	diff:  把头A1.0 头子B0.014492753623188406 头目B0.07246376811594203 领导人B0.8985507246376812 带头人B0.014492753623188406
  	class: 人杰  	d: 6  	pt: 2.0  	diff:  尖儿A1.0 翘楚B0.5 佼佼者B0.5
  	class: 创建者  	d: 8  	pt: 2.0  	diff:  创作者A1.0 创立者B0.5 开创者B0.5
  	class: 俘虏  	d: 13  	pt: 2.0  	diff:  俘获A1.0 俘虏B1.0
  	class: 结交  	d: 7  	pt: 2.0  	diff:  会友A1.0 交游B1.0
  	class: 旧交  	d: 7  	pt: 2.0  	diff:  老朋友A1.0 故人B1.0
  	class: 匹敌  	d: 21  	pt: 2.0  	diff:  媲美A1.0 分庭抗礼B0.5 匹敌B0.5
  	class: 客人  	d: 4  	pt: 2.0  	diff:  来宾A1.0 来客B1.0
  	class: 柱  	d: 5  	pt: 2.0  	diff:  柱A1.0 支柱B1.0
  	class: 代表  	d: 3  	pt: 2.0  	diff:  委托人A1.0 代理人B1.0
  	class: 被告人  	d: 3  	pt: 2.0  	diff:  被告A1.0 被告人B1.0
  	class: 强盗  	d: 12  	pt: 2.0  	diff:  强盗A1.0 强人B1.0
  	class: 圣贤  	d: 17  	pt: 2.0  	diff:  高人A0.3333333333333333 哲A0.3333333333333333 贤良A0.3333333333333333 先知B1.0
  	class: 流氓  	d: 10  	pt: 2.0  	diff:  刺儿头A1.0 刺头B1.0
  	class: 恶霸  	d: 3  	pt: 2.0  	diff:  霸王A1.0 恶霸B1.0
