learn:ktx.csv check:xsx.csv 	 Result: 	0.22422808285257675 	6503 	2555



  	class: 子畜  	d: 6  	pt: 2.0  	diff:  娃A0.5 崽A0.5 崽子B1.0
  	class: 高个儿  	d: 7  	pt: 2.0  	diff:  巨人A1.0 高个子B1.0
  	class: 文件  	d: 6  	pt: 2.0  	diff:  文本A0.3333333333333333 文件A0.6666666666666666 文书B1.0
  	class: 商人  	d: 9  	pt: 2.0  	diff:  商人A0.6666666666666666 巨商A0.1111111111111111 经纪人A0.1111111111111111 生意人A0.1111111111111111 商贩B1.0
  	class: 烧火  	d: 7  	pt: 2.0  	diff:  生火A1.0 着火B1.0
  	class: 转告  	d: 6  	pt: 2.0  	diff:  传言A1.0 转告B0.16666666666666666 传达B0.8333333333333334
  	class: 下级  	d: 10  	pt: 2.0  	diff:  下属A1.0 手下人B1.0
  	class: 配角  	d: 4  	pt: 2.0  	diff:  配角A1.0 班底B1.0
  	class: 跟随  	d: 7  	pt: 2.0  	diff:  追随A1.0 跟随B1.0
  	class: 贵族  	d: 2  	pt: 2.0  	diff:  贵族A1.0 大公B1.0
  	class: 第一  	d: 18  	pt: 2.0  	diff:  首度A0.08333333333333333 处女A0.08333333333333333 头条A0.8333333333333334 头版B1.0
  	class: 孕妇  	d: 5  	pt: 2.0  	diff:  孕妇A1.0 产妇B1.0
  	class: 逃跑  	d: 23  	pt: 2.0  	diff:  出逃A0.5 逃亡A0.5 逃跑B1.0
  	class: 俘虏  	d: 13  	pt: 2.0  	diff:  俘获A1.0 生擒B1.0
  	class: 舅父  	d: 6  	pt: 2.0  	diff:  娘舅A0.5 大舅A0.5 表舅B1.0
  	class: 相投  	d: 20  	pt: 2.0  	diff:  对头A0.5 投机A0.5 合拍B1.0
  	class: 上臂  	d: 4  	pt: 2.0  	diff:  臂A1.0 前臂B1.0
  	class: 贵  	d: 9  	pt: 2.0  	diff:  宝A0.5 高高A0.5 台B1.0
  	class: 流氓  	d: 10  	pt: 2.0  	diff:  刺儿头A1.0 痞子B1.0
  	class: 女将  	d: 3  	pt: 2.0  	diff:  女将A1.0 女强人B1.0
  	class: 老练  	d: 15  	pt: 2.0  	diff:  老气A1.0 早熟B1.0
  	class: 遗物  	d: 3  	pt: 2.0  	diff:  遗物A1.0 旧物B1.0
  	class: 备件  	d: 5  	pt: 2.0  	diff:  配件A1.0 附件B1.0
  	class: 颤动  	d: 10  	pt: 2.0  	diff:  震A0.5714285714285714 抖动A0.42857142857142855 颠簸B0.5 振荡B0.5
  	class: 倾  	d: 6  	pt: 2.0  	diff:  歪A0.75 斜A0.25 倾斜B1.0
  	class: 脚  	d: 8  	pt: 2.0  	diff:  脚丫子A0.25 脚底A0.75 脚丫B1.0
  	class: 冲  	d: 5  	pt: 2.0  	diff:  冲开A1.0 山坳B1.0
  	class: 雪域  	d: 4  	pt: 2.0  	diff:  雪地A1.0 雪原B1.0
  	class: 草坪  	d: 5  	pt: 2.0  	diff:  绿地A0.5 草坪A0.5 草地B1.0
  	class: 雪  	d: 8  	pt: 2.0  	diff:  冰雪A1.0 雪花B1.0
