learn:mm.csv check:xkd.csv 	 Result: 	0.28625456813134137 	5229 	1906



  	class: 分  	d: 11  	pt: 2.0  	diff:  分层A1.0 分支B0.5 支行B0.5
  	class: 男人  	d: 9  	pt: 2.0  	diff:  男士A1.0 男子B0.8 汉B0.2
  	class: 皇帝  	d: 26  	pt: 2.0  	diff:  王者A0.7142857142857143 君A0.2857142857142857 统治者B0.2222222222222222 皇帝B0.5555555555555556 君主B0.2222222222222222
  	class: 驾驶  	d: 3  	pt: 2.0  	diff:  驾驭A0.5 驾A0.5 驾驶B1.0
  	class: 长辈  	d: 6  	pt: 2.0  	diff:  老辈A1.0 老人B0.7307692307692307 老一辈B0.23076923076923078 老前辈B0.038461538461538464
  	class: 成年人  	d: 5  	pt: 2.0  	diff:  成年人A1.0 中年人B1.0
  	class: 从业员  	d: 4  	pt: 2.0  	diff:  店员A1.0 营业员B1.0
  	class: 卖家  	d: 4  	pt: 2.0  	diff:  卖家A1.0 卖方B1.0
  	class: 海军  	d: 3  	pt: 2.0  	diff:  水军A1.0 海军B1.0
  	class: 侦查  	d: 11  	pt: 2.0  	diff:  侦探A1.0 侦查B0.8 暗访B0.2
  	class: 歌手  	d: 8  	pt: 2.0  	diff:  歌星A1.0 歌手B0.5 歌者B0.5
  	class: 可憎  	d: 12  	pt: 2.0  	diff:  丑A0.8571428571428571 该死A0.09523809523809523 烦人A0.047619047619047616 可恨B1.0
  	class: 女皇  	d: 2  	pt: 2.0  	diff:  女王A1.0 女皇B1.0
  	class: 替身  	d: 3  	pt: 2.0  	diff:  替身A1.0 替罪羊B1.0
  	class: 逃跑  	d: 23  	pt: 2.0  	diff:  逃走A0.3333333333333333 逃跑A0.6666666666666666 逃亡B0.5 逃逸B0.5
  	class: 结交  	d: 7  	pt: 2.0  	diff:  结交A1.0 交游B1.0
  	class: 好友  	d: 10  	pt: 2.0  	diff:  好友A1.0 知音B1.0
  	class: 旧交  	d: 7  	pt: 2.0  	diff:  老朋友A1.0 故人B1.0
  	class: 丹心  	d: 15  	pt: 2.0  	diff:  热血A0.5 真情A0.5 诚意B0.8333333333333334 丹心B0.16666666666666666
  	class: 助手  	d: 11  	pt: 2.0  	diff:  帮厨A1.0 助手B1.0
  	class: 圣贤  	d: 17  	pt: 2.0  	diff:  哲A1.0 先知B1.0
  	class: 流氓  	d: 10  	pt: 2.0  	diff:  流氓A1.0 刺头B1.0
  	class: 妖  	d: 8  	pt: 2.0  	diff:  妖怪A0.5 怪物A0.5 妖精B0.75 妖B0.25
  	class: 端  	d: 5  	pt: 2.0  	diff:  尖头A1.0 末流B1.0
  	class: 资料  	d: 5  	pt: 2.0  	diff:  材A1.0 材料B0.25 资料B0.75
  	class: 粗心  	d: 9  	pt: 2.0  	diff:  疏于A1.0 粗疏B1.0
  	class: 老练  	d: 15  	pt: 2.0  	diff:  老气A1.0 老道B1.0
  	class: 盗窃  	d: 18  	pt: 2.0  	diff:  偷A1.0 偷走B0.5 盗窃B0.5
  	class: 礼貌  	d: 6  	pt: 2.0  	diff:  礼貌A1.0 礼B1.0
