learn:mm.csv check:xsx.csv 	 Result: 	0.23533789215156914 	4704 	2070



  	class: 子畜  	d: 6  	pt: 2.0  	diff:  娃A1.0 崽子B1.0
  	class: 男人  	d: 9  	pt: 2.0  	diff:  男士A1.0 男子汉B0.5 男子B0.5
  	class: 望族  	d: 9  	pt: 2.0  	diff:  豪门A1.0 世家B1.0
  	class: 年老  	d: 24  	pt: 2.0  	diff:  苍老A0.6666666666666666 老态龙钟A0.3333333333333333 大龄B0.5 年迈B0.25 早衰B0.25
  	class: 长辈  	d: 6  	pt: 2.0  	diff:  老辈A1.0 老人B1.0
  	class: 仙女  	d: 3  	pt: 2.0  	diff:  仙女A1.0 仙子B1.0
  	class: 文件  	d: 6  	pt: 2.0  	diff:  文件A1.0 文书B1.0
  	class: 商人  	d: 9  	pt: 2.0  	diff:  经纪人A1.0 商贩B1.0
  	class: 画家  	d: 2  	pt: 2.0  	diff:  画师A1.0 画家B1.0
  	class: 烧火  	d: 7  	pt: 2.0  	diff:  燃爆A1.0 着火B1.0
  	class: 下级  	d: 10  	pt: 2.0  	diff:  下属A1.0 手下人B1.0
  	class: 急事  	d: 3  	pt: 2.0  	diff:  警A1.0 急事B1.0
  	class: 姨母  	d: 6  	pt: 2.0  	diff:  姨母A1.0 姨妈B1.0
  	class: 歌手  	d: 8  	pt: 2.0  	diff:  歌星A1.0 歌手B1.0
  	class: 乳房  	d: 3  	pt: 2.0  	diff:  奶子A1.0 胸部B1.0
  	class: 圣母  	d: 2  	pt: 2.0  	diff:  圣母A1.0 娘娘B1.0
  	class: 朝廷  	d: 7  	pt: 2.0  	diff:  王室A1.0 宫廷B1.0
  	class: 贵族  	d: 2  	pt: 2.0  	diff:  贵族A1.0 大公B1.0
  	class: 第一  	d: 18  	pt: 2.0  	diff:  处女A1.0 头版B1.0
  	class: 俘虏  	d: 13  	pt: 2.0  	diff:  俘虏A0.5 俘获A0.5 生擒B1.0
  	class: 侄  	d: 5  	pt: 2.0  	diff:  侄儿A1.0 侄子B1.0
  	class: 后人  	d: 12  	pt: 2.0  	diff:  继承人A1.0 膝下B1.0
  	class: 贵  	d: 9  	pt: 2.0  	diff:  宝A1.0 台B1.0
  	class: 流氓  	d: 10  	pt: 2.0  	diff:  流氓A1.0 痞子B1.0
  	class: 专家  	d: 5  	pt: 2.0  	diff:  专家A1.0 学者B1.0
  	class: 老练  	d: 15  	pt: 2.0  	diff:  老气A1.0 早熟B1.0
  	class: 贵重  	d: 15  	pt: 2.0  	diff:  贵重A1.0 名贵B0.25 珍贵B0.75
  	class: 卷  	d: 4  	pt: 2.0  	diff:  卷起A1.0 窝B1.0
  	class: 关键  	d: 11  	pt: 2.0  	diff:  焦点A1.0 点子B1.0
  	class: 约束  	d: 17  	pt: 2.0  	diff:  格A0.3333333333333333 羁绊A0.3333333333333333 自律A0.3333333333333333 框B0.5 绳B0.5
  	class: 颤动  	d: 10  	pt: 2.0  	diff:  颠A0.5 抖动A0.5 颠簸B0.5 振荡B0.5
  	class: 限度  	d: 10  	pt: 2.0  	diff:  界限A1.0 限度B1.0
  	class: 正派  	d: 12  	pt: 2.0  	diff:  自爱A1.0 不俗B1.0
