learn:xkd.csv check:xsx.csv 	 Result: 	0.27491142597051604 	6233 	2288



  	class: 成年人  	d: 5  	pt: 2.0  	diff:  中年人A1.0 成年人B1.0
  	class: 高个儿  	d: 7  	pt: 2.0  	diff:  巨人A1.0 高个子B1.0
  	class: 文件  	d: 6  	pt: 2.0  	diff:  文件A0.6981132075471698 文本A0.3018867924528302 文书B1.0
  	class: 从业员  	d: 4  	pt: 2.0  	diff:  营业员A1.0 店员B1.0
  	class: 卖家  	d: 4  	pt: 2.0  	diff:  卖方A1.0 卖家B1.0
  	class: 下级  	d: 10  	pt: 2.0  	diff:  部下A0.3333333333333333 下属A0.6666666666666666 手下人B1.0
  	class: 骑兵  	d: 4  	pt: 2.0  	diff:  骑兵A1.0 骑士B1.0
  	class: 急事  	d: 3  	pt: 2.0  	diff:  警A1.0 急事B1.0
  	class: 星辰  	d: 8  	pt: 2.0  	diff:  星辰A1.0 星球B0.5 星B0.5
  	class: 可憎  	d: 12  	pt: 2.0  	diff:  可恨A1.0 丑B1.0
  	class: 差役  	d: 7  	pt: 2.0  	diff:  公差A1.0 杂役B1.0
  	class: 士绅  	d: 5  	pt: 2.0  	diff:  乡绅A1.0 绅士B1.0
  	class: 女皇  	d: 2  	pt: 2.0  	diff:  女皇A1.0 女王B1.0
  	class: 统治  	d: 12  	pt: 2.0  	diff:  执政A0.9148936170212766 统治A0.06382978723404255 主政A0.02127659574468085 当家B1.0
  	class: 创建者  	d: 8  	pt: 2.0  	diff:  创立者A0.5 开创者A0.5 创作者B1.0
  	class: 傻子  	d: 8  	pt: 2.0  	diff:  傻子A1.0 傻瓜B1.0
  	class: 逃跑  	d: 23  	pt: 2.0  	diff:  逃亡A0.5 逃逸A0.5 逃跑B1.0
  	class: 俘虏  	d: 13  	pt: 2.0  	diff:  俘虏A1.0 生擒B1.0
  	class: 后人  	d: 12  	pt: 2.0  	diff:  接班人A0.6666666666666666 继任者A0.3333333333333333 膝下B1.0
  	class: 旧交  	d: 7  	pt: 2.0  	diff:  故人A1.0 老朋友B0.75 老友B0.25
  	class: 匹敌  	d: 21  	pt: 2.0  	diff:  分庭抗礼A0.5 匹敌A0.5 媲美B1.0
  	class: 贵  	d: 9  	pt: 2.0  	diff:  高高A0.5 宝A0.5 台B1.0
  	class: 流氓  	d: 10  	pt: 2.0  	diff:  刺头A1.0 痞子B1.0
  	class: 凶残  	d: 9  	pt: 2.0  	diff:  残忍A0.5 暴虐A0.5 残暴B0.2 凶残B0.2 残酷B0.6
  	class: 妖  	d: 8  	pt: 2.0  	diff:  妖精A0.75 妖A0.25 怪物B1.0
  	class: 杰作  	d: 16  	pt: 2.0  	diff:  大作A0.5 杰作A0.5 名作B1.0
  	class: 老练  	d: 15  	pt: 2.0  	diff:  老道A1.0 早熟B1.0
  	class: 叛变  	d: 13  	pt: 2.0  	diff:  叛乱A0.3333333333333333 叛离A0.3333333333333333 倒戈A0.3333333333333333 叛逆B1.0
  	class: 盗窃  	d: 18  	pt: 2.0  	diff:  偷走A0.5 盗窃A0.5 偷窃B0.3333333333333333 偷B0.6666666666666666
